ticker,calendar_quarter,capex,diluted_shares,eps_diluted,gross_profit,net_income,operating_income,revenue,gross_margin,operating_margin,net_margin,eps_diluted_calc
AMD,2023Q2,,1627000000.0,0.02,2443000000.0,27000000.0,-20000000.0,5359000000.0,0.4558686322075014,-0.003732039559619332,0.005038253405486098,0.016594960049170254
AMD,2023Q3,,1629000000.0,0.18,2747000000.0,299000000.0,224000000.0,5800000000.0,0.4736206896551724,0.038620689655172416,0.051551724137931035,0.18354818907305095
AMD,2023Q4,,,,2911000000.0,667000000.0,342000000.0,6168000000.0,0.4719520103761349,0.05544747081712062,0.10813878080415046,
AMD,2024Q1,,1639000000.0,0.07,2560000000.0,123000000.0,36000000.0,5473000000.0,0.46775077653937513,0.006577745295084963,0.02247396309154029,0.075045759609518
AMD,2024Q2,,1637000000.0,0.16,2864000000.0,265000000.0,269000000.0,5835000000.0,0.4908311910882605,0.04610111396743787,0.04541559554413025,0.16188149053145998
AMD,2024Q3,,1636000000.0,0.47,3419000000.0,771000000.0,724000000.0,6819000000.0,0.5013931661533949,0.1061739257955712,0.11306643202815662,0.4712713936430318
AMD,2024Q4,,,,3882000000.0,482000000.0,871000000.0,7658000000.0,0.5069208670671194,0.11373726821624446,0.06294071559153826,
AMD,2025Q1,,1626000000.0,0.44,3736000000.0,709000000.0,806000000.0,7438000000.0,0.5022855606345792,0.10836246302769562,0.0953213229362732,0.4360393603936039
AMD,2025Q2,,1630000000.0,0.54,3059000000.0,872000000.0,-134000000.0,7685000000.0,0.39804814573845154,-0.017436564736499675,0.11346779440468445,0.5349693251533743
AMD,2025Q3,,1641000000.0,0.75,4780000000.0,1243000000.0,1270000000.0,9246000000.0,0.5169803158122431,0.13735669478693488,0.1344365130867402,0.7574649603900061
AMD,2025Q4,,,,5577000000.0,1511000000.0,1752000000.0,10270000000.0,0.5430379746835443,0.1705939629990263,0.14712755598831548,
AMZN,2010Q1,140000000.0,,,,,,,,,,
AMZN,2010Q2,196000000.0,,,,,,,,,,
AMZN,2010Q3,315000000.0,,,,,,,,,,
AMZN,2010Q4,328000000.0,,,,,,,,,,
AMZN,2011Q1,298000000.0,,,,,,,,,,
AMZN,2011Q2,433000000.0,,,,,,,,,,
AMZN,2011Q3,529000000.0,,,,,,,,,,
AMZN,2011Q4,550000000.0,,,,,,,,,,
AMZN,2012Q1,386000000.0,,,,,,,,,,
AMZN,2012Q2,657000000.0,,,,,,,,,,
AMZN,2012Q3,716000000.0,,,,,,,,,,
AMZN,2012Q4,2026000000.0,,,,,,,,,,
AMZN,2013Q1,670000000.0,,,,,,,,,,
AMZN,2013Q2,855000000.0,,,,,,,,,,
AMZN,2013Q3,1038000000.0,,,,,,,,,,
AMZN,2013Q4,879000000.0,,,,,,,,,,
AMZN,2014Q1,1080000000.0,,,,,,,,,,
AMZN,2014Q2,1290000000.0,,,,,,,,,,
AMZN,2014Q3,1378000000.0,,,,,,,,,,
AMZN,2014Q4,1145000000.0,,,,,,,,,,
AMZN,2015Q1,871000000.0,,,,,,,,,,
AMZN,2015Q2,1213000000.0,,,,,,,,,,
AMZN,2015Q3,1195000000.0,,,,,,,,,,
AMZN,2015Q4,1309000000.0,,,,,,,,,,
AMZN,2016Q1,1179000000.0,,,,,,,,,,
AMZN,2016Q2,1711000000.0,,,,,,,,,,
AMZN,2016Q3,1841000000.0,,,,,,,,,,
