ticker,calendar_quarter,quarter_end_date,source_ticker,qend_adj_close,qoq_return
INTC,2024Q1,2024-03-28,INTC,43.714012,-0.11841855537046497
INTC,2024Q2,2024-06-28,INTC,30.774776,-0.29599744814088436
INTC,2024Q3,2024-09-30,INTC,23.459999,-0.2376874164738031
INTC,2024Q4,2024-12-31,INTC,20.049999,-0.14535379988720376
INTC,2025Q1,2025-03-31,INTC,22.709999,0.132668335793932
INTC,2025Q2,2025-06-30,INTC,22.4,-0.013650330852062131
INTC,2025Q3,2025-09-30,INTC,33.549999,0.4977678125
INTC,2025Q4,2025-12-31,INTC,36.900002,0.09985106109839226
INTC,2026Q1,2026-03-31,INTC,44.130001,0.19593492162954362
NDX,2010Q1,2010-03-31,^NDX,1958.339966,
NDX,2010Q2,2010-06-30,^NDX,1739.140015,-0.11193151077222108
NDX,2010Q3,2010-09-30,^NDX,1998.040039,0.14886669374920913
NDX,2010Q4,2010-12-31,^NDX,2217.860107,0.11001784934701209
NDX,2011Q1,2011-03-31,^NDX,2338.98999,0.054615655251514905
NDX,2011Q2,2011-06-30,^NDX,2325.070068,-0.005951253344183893
NDX,2011Q3,2011-09-30,^NDX,2139.179932,-0.0799503372214071
NDX,2011Q4,2011-12-30,^NDX,2277.830078,0.06481462542067273
NDX,2012Q1,2012-03-30,^NDX,2755.27002,0.20960296670557876
NDX,2012Q2,2012-06-29,^NDX,2615.719971,-0.05064841122177921
NDX,2012Q3,2012-09-28,^NDX,2799.189941,0.07014128883599824
NDX,2012Q4,2012-12-31,^NDX,2660.929932,-0.049392864333674735
NDX,2013Q1,2013-03-28,^NDX,2818.689941,0.05928754722279561
NDX,2013Q2,2013-06-28,^NDX,2909.600098,0.032252627604633544
NDX,2013Q3,2013-09-30,^NDX,3218.199951,0.1060626349346514
NDX,2013Q4,2013-12-31,^NDX,3592.0,0.11615190314195623
NDX,2014Q1,2014-03-31,^NDX,3595.73999,0.0010411998886414864
NDX,2014Q2,2014-06-30,^NDX,3849.47998,0.0705668348394679
NDX,2014Q3,2014-09-30,^NDX,4049.449951,0.051947268732126295
NDX,2014Q4,2014-12-31,^NDX,4236.279785,0.04613708929872384
NDX,2015Q1,2015-03-31,^NDX,4333.689941,0.022994268779157112
NDX,2015Q2,2015-06-30,^NDX,4396.759766,0.014553377343245577
NDX,2015Q3,2015-09-30,^NDX,4181.060059,-0.0490587883986745
NDX,2015Q4,2015-12-31,^NDX,4593.27002,0.09858982056779864
NDX,2016Q1,2016-03-31,^NDX,4483.660156,-0.02386314401782108
NDX,2016Q2,2016-06-30,^NDX,4417.700195,-0.014711186554077327
NDX,2016Q3,2016-09-30,^NDX,4875.700195,0.10367385286090025
NDX,2016Q4,2016-12-30,^NDX,4863.620117,-0.002477608859623448
NDX,2017Q1,2017-03-31,^NDX,5436.22998,0.11773326230774761
NDX,2017Q2,2017-06-30,^NDX,5646.919922,0.03875662780550715
NDX,2017Q3,2017-09-29,^NDX,5979.299805,0.05886038541206706
NDX,2017Q4,2017-12-29,^NDX,6396.419922,0.06976069616900582
NDX,2018Q1,2018-03-29,^NDX,6581.129883,0.028877084877542814
NDX,2018Q2,2018-06-29,^NDX,7040.799805,0.0698466570592069
NDX,2018Q3,2018-09-28,^NDX,7627.649902,0.08334991950534532
NDX,2018Q4,2018-12-31,^NDX,6329.970215,-0.1701283755380203
NDX,2019Q1,2019-03-29,^NDX,7378.77002,0.16568795260911018
NDX,2019Q2,2019-06-28,^NDX,7671.080078,0.03961501133762124
NDX,2019Q3,2019-09-30,^NDX,7749.450195,0.010216308030046362
NDX,2019Q4,2019-12-31,^NDX,8733.070312,0.1269277293548694
NDX,2020Q1,2020-03-31,^NDX,7813.5,-0.10529748177298315
NDX,2020Q2,2020-06-30,^NDX,10156.849609,0.2999103614257377
NDX,2020Q3,2020-09-30,^NDX,11418.05957,0.12417334208458097
NDX,2020Q4,2020-12-31,^NDX,12888.280273,0.12876274589273318
NDX,2021Q1,2021-03-31,^NDX,13091.44043,0.01576317031416563
NDX,2021Q2,2021-06-30,^NDX,14554.799805,0.1117798597354196
NDX,2021Q3,2021-09-30,^NDX,14689.620117,0.009262945131934153
